,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
396,61007.574322551,1754056701.5465686,,7674900.0,1.3108426,,,330446,,
397,61037.58252099,1754056737.5067606,0.860758,7679300.0,,,,330636,,
398,61232.636497102,1754056931.7086802,,7703100.0,2.1295173,,,331654,,
399,61262.645163261,1754056965.7483778,0.862438,7707300.0,,,,331836,,
400,61387.681166891,1754057089.5022774,,7722400.0,,,125.0,332476,,
401,61442.693708251,1754057138.0353906,,7728400.0,2.1394851,,,332733,,
402,61562.725931362,1754057259.6721556,,7743400.0,,,,333381,0.61285126,
403,61802.795426489,1754057503.3167188,,7773600.0,,,125.0,334673,,
404,61847.809208734,1754057547.62896,0.866746,7779100.0,,,,334910,,
405,61927.833281228,1754057628.5700045,0.867352,7789200.0,,,,335341,,
406,62102.882879528,1754057797.5707858,,7810400.0,,,125.0,336249,,
407,62302.934163537,1754057996.9286497,0.870112,7835200.0,,,,337317,,
408,62688.044067603,1754058383.3859699,0.872992,7883200.0,,,,339377,,
409,62763.064254854,1754058455.387893,,7892100.0,,,,339755,0.576125,
410,62838.086248967,1754058540.5299594,0.874162,7902700.0,,,,340210,,
411,62988.131041593,1754058683.4884565,0.875218,7920300.0,,,,340964,,
412,63033.144963462,1754058737.734038,,7927000.0,,,125.0,341248,,
413,63078.156203335,1754058772.3133278,,7931200.0,,,125.0,341429,,
414,63168.180844482,1754058862.3940377,,7942300.0,,,125.0,341906,,
415,63303.221033686,1754059009.9084816,,7960500.0,,,,342685,0.35757977,
416,63333.229962274,1754059038.3528042,0.87784,7964000.0,,,,342836,,
417,63768.355162565,1754059465.1853979,,8016200.0,,,125.0,345077,,
418,64038.434681514,1754059738.0292199,0.882988,8049800.0,,,,346514,,
419,64038.434723751,1754059738.8057559,,8049900.0,,,,346516,0.4683931,
420,64068.443007986,1754059769.646255,,8053700.0,1.9193658,,,346677,,
421,64083.447014765,1754059784.178271,,8055491.0,,1095.0,,346754,,
422,64083.447210448,1754059785.789561,,8055700.0,,,125.0,346765,,
423,64233.491286431,1754059940.7424462,0.884488,8074800.0,,,,347583,,
424,64323.516328777,1754060025.414487,0.885112,8085200.0,,,,348029,,
